name,address,phone,herdNo,asgn,tasks,product,tags
John Smith,123 Farm Road County Cork Ireland,+353 1 234 5678,12345,Dr. Sarah Murphy,5,Basic Plan,"Farm, Mixed Crops, Dairy, Beef"
Marvin McKinney,789 Home Farm Road County Cork Ireland,+353 1 234 5679,67890,Dr. Michael O'Brien,3,Premium Plan,"Farm, Mixed Crops, Dairy"
Sarah Johnson,321 Valley Road County Cork Ireland,+353 1 234 5680,54321,Dr. Sarah Murphy,7,Basic Plan,"Farm, Mixed Crops, Dairy, Beef, Pig"
Patrick O'Connor,456 Green Valley County Kerry Ireland,+353 1 234 5681,98765,Dr. Michael O'Brien,2,Premium Plan,"Farm, Mixed Crops, Sheep, Goat"
Mary Fitzgerald,789 Hill Farm County Galway Ireland,+353 1 234 5682,13579,Dr. Sarah Murphy,4,Basic Plan,"Farm, Mixed Crops, Poultry, Horse"
Catherine Ryan,321 River View County Limerick Ireland,+353 1 234 5683,24680,Dr. Michael O'Brien,6,Premium Plan,"Farm, Mixed Crops, Other"
Michael Kelly,654 Mountain Road County Tipperary Ireland,+353 1 234 5684,97531,Dr. Sarah Murphy,1,Basic Plan,"Farm, Mixed Crops, Dairy, Beef"
Anne Murphy,987 Valley Farm County Waterford Ireland,+353 1 234 5685,86420,Dr. Michael O'Brien,8,Premium Plan,"Farm, Mixed Crops, Pig, Sheep"
James O'Sullivan,147 Coastal Farm County Clare Ireland,+353 1 234 5686,75319,Dr. Sarah Murphy,3,Basic Plan,"Farm, Mixed Crops, Goat, Poultry"
Bridget McCarthy,258 Forest View County Mayo Ireland,+353 1 234 5687,64208,Dr. Michael O'Brien,5,Premium Plan,"Farm, Mixed Crops, Horse, Other"
